ordering,previous,next,collection,archeCollection,file1,file2,imageSize,px,titleOriginal,titleDe,titleGr,descriptionDe,descriptionGr,singatureInv,oenbLink,photographDe,photographWikidata,photographGr,dateStart,dateEnd,date,placeRegionDe,placeRegionDeARCHE,placeRegionID,placeGeonames,placeRegionWikidata,coordinates,placeRegionGr,countryDe,countryID,countryGeonames,countryWikidata,countryGr,countryHistoryDe,countryHistoryID,countryHistoryWikidata,countryHistoryGr,journalFile1,journalTitle1,journalSignature1,journalLink,relation1,persons,journalFile2,journalTitle2,journalSignature2,relation2
0001. Triest,0176. Athen vom Lykabettos,0005. Korfu (neue Festung),Fotos_0001-0028,Fotos_1-28,00000001.tif,00000002.tif,"9,9cm x 12,8cm",6244px x 4872px,1. Triest.,1. Triest.,1. Τεργέστη,,,OeNB: Cod. Ser. 54103/1,http://data.onb.ac.at/rec/AC14018381,Paul Kretschmer,https://www.wikidata.org/wiki/Q64431,Πάουλ Κρέτσμερ,08.08.1901,08.08.1901,08.08.1901,Triest,Triest,https://id.acdh.oeaw.ac.at/place-trieste,https://www.geonames.org/3165186,https://www.wikidata.org/wiki/Q546,"45.65027777777778, 13.770277777777778",Τεργέστη,Italien,https://id.acdh.oeaw.ac.at/place-italy,https://www.geonames.org/3175395,https://www.wikidata.org/wiki/Q38,Ιταλία,Österreich-Ungarn,https://id.acdh.oeaw.ac.at/place-austria-hungary,https://www.wikidata.org/wiki/Q28513,Αυστρία-Ουγγαρία,oenb-cod-ser-53996-stuck-6-33r.jpg,[Reise nach Lesbos 1901. Nr. 1.],"OeNB: Cod. Ser. 53996, Stueck 6, 33r",http://data.onb.ac.at/rec/AC14015680,"[4) Do(nnerstag) 8. Aug(ust)]
„5 U(hr) Aufnahme von Triest:
Blende 128, Ballaufn(ahme)“",,,,,
0005. Korfu (neue Festung),0001. Triest,0006. Der Dampfer „Helios“ vor Korfu,Fotos_0001-0028,Fotos_1-28,00000003.tif,00000004.tif,"9,9cm x 12,8cm",4848px x 6244px,5. Korfù (Fortezza nuova).,5. Korfu (neue Festung).,5. Κέρκυρα (Νέο Φρούριο).,,,OeNB: Cod. Ser. 54103/2,http://data.onb.ac.at/rec/AC14018381,Paul Kretschmer,https://www.wikidata.org/wiki/Q64431,Πάουλ Κρέτσμερ,11.08.1901,11.08.1901,11.08.1901,Korfu,Korfu,https://id.acdh.oeaw.ac.at/place-corfu,https://www.geonames.org/2463679,https://www.wikidata.org/wiki/Q205832,"39.623888888889, 19.921388888889",Κέρκυρα,Griechenland,https://id.acdh.oeaw.ac.at/place-greece,https://www.geonames.org/390903,https://www.wikidata.org/wiki/Q41,Ελλάδα,Griechenland,https://id.acdh.oeaw.ac.at/place-kingdom-of-greece,https://www.wikidata.org/wiki/Q209065,Ελλάδα,oenb-cod-ser-53996-stuck-6-36v.jpg,[Reise nach Lesbos 1901. Nr. 1.],"OeNB: Cod. Ser. 53996, Stueck 6, 36v ",http://data.onb.ac.at/rec/AC14015680,"[7) S(onn)t(ag) 11. Aug(ust)]
„5. Aufn(ahme): 10 U(hr), Fortezza
nuova. Blende 18“",,,,,
0006. Der Dampfer „Helios“ vor Korfu,0005. Korfu (neue Festung),0008. Argostoli (Kefallinia),Fotos_0001-0028,Fotos_1-28,00000005.tif,00000006.tif,"9,9cm x 12,8cm",4848px x 6244px,6. Dampfer „Helios“ vor Korfu.,6. Dampfer „Helios“ vor Korfu.,6. Το Ατμόπλοιο „Ήλιος“ έξω από την Κέρκυρα.,Der Dampfer „Helios“ vor Korfu. Im Hintergrund ist die Insel Vido zu sehen,Το ατμόπλοιο „Ήλιος“ έξω από την Κέρκυρα. Στο βάθος η νήσος Βίδο,OeNB: Cod. Ser. 54103/3,http://data.onb.ac.at/rec/AC14018381,Paul Kretschmer,https://www.wikidata.org/wiki/Q64431,Πάουλ Κρέτσμερ,11.08.1901,11.08.1901,11.08.1901,Korfu,Korfu,https://id.acdh.oeaw.ac.at/place-corfu,https://www.geonames.org/2463679,https://www.wikidata.org/wiki/Q205832,"39.623888888889, 19.921388888889",Κέρκυρα,Griechenland,https://id.acdh.oeaw.ac.at/place-greece,https://www.geonames.org/390903,https://www.wikidata.org/wiki/Q41,Ελλάδα,Griechenland,https://id.acdh.oeaw.ac.at/place-kingdom-of-greece,https://www.wikidata.org/wiki/Q209065,Ελλάδα,oenb-cod-ser-53996-stuck-6-37r.jpg,[Reise nach Lesbos 1901. Nr. 1.],"OeNB: Cod. Ser. 53996, Stueck 6, 37r",http://data.onb.ac.at/rec/AC14015680,"[7) S(onn)t(ag) 11. Aug(ust)]
„6. Aufnahme: „Helios“ bei
Corfù, dahinter Insel
Vido.“",,,,,
0008. Argostoli (Kefallinia),0006. Der Dampfer „Helios“ vor Korfu,0014. Chania,Fotos_0001-0028,Fotos_1-28,00000007.tif,00000008.tif,"9,9cm x 12,8cm",4848px x 6244px,8. Αργοστόλι (Κεφαλληνία).,8. Argostoli (Kefallinia).,8. Αργοστόλι (Κεφαλληνία).,,,OeNB: Cod. Ser. 54103/4,http://data.onb.ac.at/rec/AC14018381,Paul Kretschmer,https://www.wikidata.org/wiki/Q64431,Πάουλ Κρέτσμερ,12.08.1901,12.08.1901,12.08.1901,Argostoli,Argostoli,https://id.acdh.oeaw.ac.at/place-argostoli,https://www.geonames.org/264668,https://www.wikidata.org/wiki/Q643695,"38.173888888889, 20.488333333333",Αργοστόλι,Griechenland,https://id.acdh.oeaw.ac.at/place-greece,https://www.geonames.org/390903,https://www.wikidata.org/wiki/Q41,Ελλάδα,Griechenland,https://id.acdh.oeaw.ac.at/place-kingdom-of-greece,https://www.wikidata.org/wiki/Q209065,Ελλάδα,oenb-cod-ser-53996-stuck-6-37v.jpg,[Reise nach Lesbos 1901. Nr. 1.],"OeNB: Cod. Ser. 53996, Stueck 6, 37v",http://data.onb.ac.at/rec/AC14015680,"[8) Mo(ntag) 12. Aug(ust)]
„8. Aufn(ahme): Argostóli von N(orden) her
vom Schiff aufgenommen: Blende
16. Moment: ¾ 11 [Uhr].“",,,,,
0014. Chania,0008. Argostoli (Kefallinia),0015. Die Nauarchou Potie Strasse in Chania,Fotos_0001-0028,Fotos_1-28,00000009.tif,00000010.tif,"10,4cm x 13,4cm",5028px x 6496px,14. Canea.,14. Canea [Chania].,14. Χανιά.,,,OeNB: Cod. Ser. 54103/5,http://data.onb.ac.at/rec/AC14018381,Paul Kretschmer,https://www.wikidata.org/wiki/Q64431,Πάουλ Κρέτσμερ,13.08.1901,13.08.1901,13.08.1901,Chania,Chania,https://id.acdh.oeaw.ac.at/place-chania,https://www.geonames.org/260114,https://www.wikidata.org/wiki/Q182299,"35.516666666667, 24.016666666667",Χανιά,Griechenland,https://id.acdh.oeaw.ac.at/place-greece,https://www.geonames.org/390903,https://www.wikidata.org/wiki/Q41,Ελλάδα,Osmanisches Reich,https://id.acdh.oeaw.ac.at/place-ottoman-empire,https://www.wikidata.org/wiki/Q12560,Οθωμανική Αυτοκρατορία,oenb-cod-ser-53996-stuck-6-41v.jpg,[Reise nach Lesbos 1901. Nr. 1.],"OeNB: Cod. Ser. 53996, Stueck 6, 41v",http://data.onb.ac.at/rec/AC14015680,"[9) Di(enstag) 13. Aug(ust)]
„14. Aufn(ahme) ebenda [Chania]. Teil des Hafens
Bl(ende) 14.“",,,,,
0015. Die Nauarchou Potie Strasse in Chania,0014. Chania,0016. Chania,Fotos_0001-0028,Fotos_1-28,00000011.tif,00000012.tif,"10,4cm x 13,4cm",6440px x 5072px,15. Οδός Ναυάρχου Ποτιέ in Canea.,15. Nauarchou Potie Strasse in Canea [Chania].,15. Η Οδός Ναυάρχου Ποτιέ στα Χανιά.,,,OeNB: Cod. Ser. 54103/6,http://data.onb.ac.at/rec/AC14018381,Paul Kretschmer,https://www.wikidata.org/wiki/Q64431,Πάουλ Κρέτσμερ,13.08.1901,13.08.1901,13.08.1901,Chania,Chania,https://id.acdh.oeaw.ac.at/place-chania,https://www.geonames.org/260114,https://www.wikidata.org/wiki/Q182299,"35.516666666667, 24.016666666667",Χανιά,Griechenland,https://id.acdh.oeaw.ac.at/place-greece,https://www.geonames.org/390903,https://www.wikidata.org/wiki/Q41,Ελλάδα,Osmanisches Reich,https://id.acdh.oeaw.ac.at/place-ottoman-empire,https://www.wikidata.org/wiki/Q12560,Οθωμανική Αυτοκρατορία,oenb-cod-ser-53996-stuck-6-41v.jpg,[Reise nach Lesbos 1901. Nr. 1.],"OeNB: Cod. Ser. 53996, Stueck 6, 41v",http://data.onb.ac.at/rec/AC14015680,"[9) Di(enstag) 13. Aug(ust)]
„15. Aufn(ahme) ¾ 5 [Uhr]: Strasse
Οδός Ναυάρχου Ποτιέ
in Kanéa, Bl(ende) 6, helles
Wetter, aber Strasse dunkel,“                        ",,,,,
0016. Chania,0015. Die Nauarchou Potie Strasse in Chania,0017. Chania,Fotos_0001-0028,Fotos_1-28,00000013.tif,00000014.tif,"9,9cm x 12,8cm",6228px x 4840px,16. Canea.,16. Canea [Chania].,16. Χανιά.,,,OeNB: Cod. Ser. 54103/7,http://data.onb.ac.at/rec/AC14018381,Paul Kretschmer,https://www.wikidata.org/wiki/Q64431,Πάουλ Κρέτσμερ,13.08.1901,13.08.1901,13.08.1901,Chania,Chania,https://id.acdh.oeaw.ac.at/place-chania,https://www.geonames.org/260114,https://www.wikidata.org/wiki/Q182299,"35.516666666667, 24.016666666667",Χανιά,Griechenland,https://id.acdh.oeaw.ac.at/place-greece,https://www.geonames.org/390903,https://www.wikidata.org/wiki/Q41,Ελλάδα,Osmanisches Reich,https://id.acdh.oeaw.ac.at/place-ottoman-empire,https://www.wikidata.org/wiki/Q12560,Οθωμανική Αυτοκρατορία,oenb-cod-ser-53996-stuck-6-41v.jpg,[Reise nach Lesbos 1901. Nr. 1.],"OeNB: Cod. Ser. 53996, Stueck 6, 41v",http://data.onb.ac.at/rec/AC14015680,"[9) Di(enstag) 13. Aug(ust)]
„16. Aufn(ahme) 5 U(hr) 5 M(inuten) andere
Strasse ebenda [Chania], Bl(ende) 6
do.“                             ",,,,,
0017. Chania,0016. Chania,0020. Fischhalle in Chania,Fotos_0001-0028,Fotos_1-28,00000015.tif,00000016.tif,"10,4cm x 13,4cm",6460px x 5060px,17. Canea.,17. Canea [Chania].,17. Χανιά.,,,OeNB: Cod. Ser. 54103/8,http://data.onb.ac.at/rec/AC14018381,Paul Kretschmer,https://www.wikidata.org/wiki/Q64431,Πάουλ Κρέτσμερ,14.08.1901,14.08.1901,14.08.1901,Chania,Chania,https://id.acdh.oeaw.ac.at/place-chania,https://www.geonames.org/260114,https://www.wikidata.org/wiki/Q182299,"35.516666666667, 24.016666666667",Χανιά,Griechenland,https://id.acdh.oeaw.ac.at/place-greece,https://www.geonames.org/390903,https://www.wikidata.org/wiki/Q41,Ελλάδα,Osmanisches Reich,https://id.acdh.oeaw.ac.at/place-ottoman-empire,https://www.wikidata.org/wiki/Q12560,Οθωμανική Αυτοκρατορία,oenb-cod-ser-53996-stuck-6-42r.jpg,[Reise nach Lesbos 1901. Nr. 1.],"OeNB: Cod. Ser. 53996, Stueck 6, 42r",http://data.onb.ac.at/rec/AC14015680,"„10) Mi(ttwoch) 14. Aug(ust)
Der Dampfer blieb vor
Canéa liegen. Um ¼ 8
fuhr ich mit Loni nochmals
hinüber (2 Drachmas. 40 zusammen
hin u(nd) zurück): Wir machten
4 Aufnahmen (17.-20.).“                          ",,,,,
0020. Fischhalle in Chania,0017. Chania,0021. Rethimno,Fotos_0001-0028,Fotos_1-28,00000017.tif,00000018.tif,"9,9cm x 12,8cm",4804px x 6264px,20. Fischhalle in Canea.,20. Fischhalle in Canea [Chania].,20. Ψαραγορά στα Χανιά.,,,OeNB: Cod. Ser. 54103/9,http://data.onb.ac.at/rec/AC14018381,Paul Kretschmer,https://www.wikidata.org/wiki/Q64431,Πάουλ Κρέτσμερ,14.08.1901,14.08.1901,14.08.1901,Chania,Chania,https://id.acdh.oeaw.ac.at/place-chania,https://www.geonames.org/260114,https://www.wikidata.org/wiki/Q182299,"35.516666666667, 24.016666666667",Χανιά,Griechenland,https://id.acdh.oeaw.ac.at/place-greece,https://www.geonames.org/390903,https://www.wikidata.org/wiki/Q41,Ελλάδα,Osmanisches Reich,https://id.acdh.oeaw.ac.at/place-ottoman-empire,https://www.wikidata.org/wiki/Q12560,Οθωμανική Αυτοκρατορία,oenb-cod-ser-53996-stuck-6-42r.jpg,[Reise nach Lesbos 1901. Nr. 1.],"OeNB: Cod. Ser. 53996, Stück 6, 42r",http://data.onb.ac.at/rec/AC14015680,"„10) Mi(ttwoch) 14. Aug(ust)
Der Dampfer blieb vor
Canéa liegen. Um ¼ 8
fuhr ich mit Loni nochmals
hinüber (2 Drachmas. 40 zusammen
hin u(nd) zurück): Wir machten
4 Aufnahmen (17.-20.).“                               ",,,,,
0021. Rethimno,0020. Fischhalle in Chania,0022. Irakleio,Fotos_0001-0028,Fotos_1-28,00000019.tif,00000020.tif,"10,4cm x 13,4cm",5016px x 6480px,21. Ρέθυμο.,21. Rethym[n]o.,21. Ρέθυμ[ν]ο.,,,OeNB: Cod. Ser. 54103/10,http://data.onb.ac.at/rec/AC14018381,Paul Kretschmer,https://www.wikidata.org/wiki/Q64431,Πάουλ Κρέτσμερ,14.08.1901,14.08.1901,14.08.1901,Rethymno,Rethymno,https://id.acdh.oeaw.ac.at/place-rethymno,https://www.geonames.org/254352,https://www.wikidata.org/wiki/Q200908,"35.36888888888889, 24.47388888888889",Ρέθυμνο,Griechenland,https://id.acdh.oeaw.ac.at/place-greece,https://www.geonames.org/390903,https://www.wikidata.org/wiki/Q41,Ελλάδα,Osmanisches Reich,https://id.acdh.oeaw.ac.at/place-ottoman-empire,https://www.wikidata.org/wiki/Q12560,Οθωμανική Αυτοκρατορία,oenb-cod-ser-53996-stuck-6-42v.jpg,[Reise nach Lesbos 1901. Nr. 1.],"OeNB: Cod. Ser. 53996, Stueck 6, 42v",http://data.onb.ac.at/rec/AC14015680,"[10) Mi(ttwoch) 14. Aug(ust)]
„Um ¼ 12 [Uhr] fuhr der Dampfer 
weiter und kam ½ 3 [Uhr] vor
Rethym[n]o an. Ich stieg mit
dem 2. Kapitän, der die Pratica hatte, ans Land und
machte eine Aufnahme von
Hafen N(ummer) 21.“                            ",,,,,
