id,Familienname,Vorname,Geburtsdatum,Sterbedatum,Link1,Familienname_gr,Vorname_gr,Link2
p0001,Anagnostou,Spyridon ,1862,1916,,Αναγνώστου,Σπυρίδων,
p0002,Athinaios,Ant. I.,,,,Αθηναίος,Αντ. Ι.,
p0003,Euthymiadis,Michail ,,,,Ευθυμιάδης,Μιχαήλ,
p0004,Heberdey,Rudolf,1864,1936,https://www.biographien.ac.at/oebl/oebl_H/Heberdey_Rudolf_1864_1936.xml,Χέμπερνταϊ,Ρούντολφ,https://d-nb.info/gnd/116555556
p0005,Kamaros,,,,,Καμαρός,,
p0006,Kamatera,Athina G.,,,,Καματερά,Αθηνά Γ.,
p0027,Kamatera ,Eirini G.,,,,Καματερά,Ειρήνη Γ.,
p0007,Kamatera,Persefoni G.,,,,Καματερά,Περσεφόνη Γ.,
p0008,Kampas,Evst.,,,,Καμπάς,Ευστ.,
p0009,Karagianni,Eirini ,,,,Καράγιαννη,Ειρήνη ,
p0010,Koulaxizeli,Panagioutouda,,,,Κουλαξιζέλη,Παναγιουτούδα,
p0028,Kountouris,Aristeidis I.,,,,Κουντουρής,Αριστείδης Ι.,
p0026,Kountouris,Malangas P. ,,,,Κουντουρής,Μαλάγγας Π.,
p0011,Kretschmer,Leona,1881,,,Κρέτσμερ,Λεόνα,
p0012,Kretschmer,Paul,1866,1956,https://geschichte.univie.ac.at/de/personen/paul-kretschmer-univ-prof-dr,Κρέτσμερ,Πάουλ,https://d-nb.info/gnd/118888455
p0013,,Kyprianos,,,,,Κυπριανός,
p0014,Kyprios,Dimitrios ,,,,Κύπριος,Δημήτριος,
p0015,Kyprios,Panagiotis,,,,Κύπριος,Παναγιώτης,
p0016,Kypriou,Stavroula,,,,Κυπρίου,Σταυρούλα,
p0017,Middelkamp,,,,,Μίντελκαμπ,,
p0018,Niemann,Georg(e),1841,1912,https://www.biographien.ac.at/oebl/oebl_N/Niemann_Georg_1841_1912.xml;internal&action=hilite.action&Parameter=Niemann*,Νίμαν,Γκέοργκ(ε),https://d-nb.info/gnd/117001848
p0019,Stefanidis,Michail K. ,1868,1957,http://jupiter.chem.uoa.gr/pchem/lab/stefanidis.html,Στεφανίδης,Μιχαήλ Κ.,
p0020,Sterioglidis,,,,,Στεριογλίδης,,
p0021,Strauss,,,,,Στράους,,
p0022,Tserigotou,Amirsouda D.,,,,Τσεριγότου,Αμιρσούδα Δ.,
p0023,Tserigotou,Palougou D.,,,,Τσεριγότου,Παλουγού Δ.,
p0024,Tzanavarina,Maria,,,,Τζαναβάρινα,Μαρία,
p0025,Vatanelis,Stavrelis,,,,Βατανέλης,Σταυρέλης,
